CODIGO_REGIONAL;REGIONAL;CODIGO_SEDE;SEDE;FICHA;FECHA_INICIO;FECHA_FIN;CODIGO_PROGRAMA;VERSION_PROGRAMA;NOMBRE_PROGRAMA;NIVEL_FORMACION;MATRICULADOS;CERTIFICADOS;TOTAL_APRENDICES;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906810;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;11;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906796;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;13;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906801;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);CURSO ESPECIAL;80;16;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906802;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);CURSO ESPECIAL;80;13;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906792;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;11;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906807;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906808;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;12;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906800;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);CURSO ESPECIAL;80;24;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906793;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;22;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906795;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730016;2;METODOLOGIA DE LA PROGRAMACION DE SISTEMAS INFORMATICOS;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965187;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;22810744;3;MANEJO DE HERRAMIENTAS MICROSOFT OFFICE 2016: EXCEL;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906809;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965188;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;22810744;3;MANEJO DE HERRAMIENTAS MICROSOFT OFFICE 2016: EXCEL;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2935191;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720168;2;APRENDIZ DIGITAL;CURSO ESPECIAL;80;6;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965186;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;22810744;3;MANEJO DE HERRAMIENTAS MICROSOFT OFFICE 2016: EXCEL;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965190;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;22810744;3;MANEJO DE HERRAMIENTAS MICROSOFT OFFICE 2016: EXCEL;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906824;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;22810748;3;PROCESOS DE SOPORTE TECNICO PARA EL MANTENIMIENTO DE EQUIPOS DE COMPUTO;CURSO ESPECIAL;80;10;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906826;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;22810748;3;PROCESOS DE SOPORTE TECNICO PARA EL MANTENIMIENTO DE EQUIPOS DE COMPUTO;CURSO ESPECIAL;80;22;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906798;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;21450168;1;ESTRUCTURA DEL LENGUAJE DE PROGRAMACION C++ (NIVEL I);CURSO ESPECIAL;80;8;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965194;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21710088;1;BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934727;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720007;1;AUDITORIA INFORMATICA: CONCEPTUALIZACION;CURSO ESPECIAL;80;18;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906828;2024-02-06 00:00:00.0;2024-03-04 00:00:00.0;22810748;3;PROCESOS DE SOPORTE TECNICO PARA EL MANTENIMIENTO DE EQUIPOS DE COMPUTO;CURSO ESPECIAL;80;20;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2935190;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720168;2;APRENDIZ DIGITAL;CURSO ESPECIAL;80;14;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934729;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720007;1;AUDITORIA INFORMATICA: CONCEPTUALIZACION;CURSO ESPECIAL;80;14;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934106;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934105;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;12;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934731;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21720007;1;AUDITORIA INFORMATICA: CONCEPTUALIZACION;CURSO ESPECIAL;80;20;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906584;2024-02-06 00:00:00.0;2024-03-08 00:00:00.0;51240087;1;ENGLISH DOES WORK - LEVEL 1;CURSO ESPECIAL;80;16;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965192;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21710088;1;BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934108;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21450171;1;VARIABLES Y ESTRUCTURAS DE CONTROL EN LA PROGRAMACION ORIENTADA A OBJETOS: JAVA;CURSO ESPECIAL;80;13;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2965193;2024-04-15 00:00:00.0;2024-05-10 00:00:00.0;21710088;1;BASES DE DATOS GENERALIDADES Y SISTEMAS DE GESTION;CURSO ESPECIAL;80;0;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934746;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;11;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2906585;2024-02-06 00:00:00.0;2024-03-08 00:00:00.0;51240087;1;ENGLISH DOES WORK - LEVEL 1;CURSO ESPECIAL;80;18;80;1013;PROGRAMA DE BILINGUISMO;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934747;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;15;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2934748;2024-03-04 00:00:00.0;2024-03-29 00:00:00.0;21730025;1;CONTROLES Y SEGURIDAD INFORMATICA;CURSO ESPECIAL;80;23;80;1001;AMBIENTES VIRTUALES DE APRENDIZAJE;0;;;;;;OTRO
